Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Stocks,AMD,0,0,0,0,0,0,71.197568921,0,0,0,71.197568921,71.197568921,
Stocks,AMZN,0,0,0,0,0,0,249.170106538,0,0,0,249.170106538,249.170106538,
Stocks,CNYA,0,0,-20.737137461,0,0,-20.737137461,0,0,0,0,0,-20.737137461,
Stocks,FXI,0,3.456404726,-4.561185708,0,0,-1.104780982,0,0,0,0,0,-1.104780982,
Stocks,GOOGL,0,0,0,0,0,0,188.04517396,-0.072264381,0,0,187.972909579,187.972909579,
Stocks,META,0,0,0,0,0,0,692.746761632,0,0,0,692.746761632,692.746761632,
Stocks,MSFT,0,0,0,0,0,0,120.519958472,0,0,0,120.519958472,120.519958472,
Stocks,NVDA,0,0,-0.008462731,0,0,-0.008462731,434.501834894,0,61.708888584,0,496.210723478,496.202260746,
Stocks,OSCR,0,0,0,0,0,0,0.529036718,0,0,0,0.529036718,0.529036718,
Stocks,PLTR,0,3.356413684,0,0,0,3.356413684,671.476893321,0,0,0,671.476893321,674.833307005,
Stocks,SHOP,0,0,0,0,0,0,130.469811617,0,0,0,130.469811617,130.469811617,
Stocks,SMCI,0,0,0,0,0,0,13.241690348,0,0,-121.975224648,-108.733534301,-108.733534301,
Stocks,TSLA,0,0,0,0,0,0,338.860286761,-131.149427745,0,0,207.710859016,207.710859016,
Total,,0,6.81281841,-25.3067859,0,0,-18.49396749,2910.75912318,-131.221692126,61.708888584,-121.975224648,2719.27109499,2700.7771275,
Forex,USD,0,70.861197,-76.899117,0,0,-6.03792,0,-4.869817448,0,0,-4.869817448,-10.907737448,
Total,,0,70.861197,-76.899117,0,0,-6.03792,0,-4.869817448,0,0,-4.869817448,-10.907737448,
Total (All Assets),,0,77.67401541,-102.2059029,0,0,-24.53188749,2910.75912318,-136.091509574,61.708888584,-121.975224648,2714.401277542,2689.869390051,
