Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Stocks,AMD,2,7,141.9,203.08,429.218495,5.529108,-4.602668634,0,430.144934366,
Stocks,AMZN,5,16,219.39,201.15,-446.947995,2.52858038,-13.453367806,0,-457.872782426,
Stocks,ASTS,0,0,--,--,24.2244615,-26.9835865,-4.532550236,0,-7.291675236,
Stocks,GOOGL,8.006,10.0188,176.23,302.02,1897.125221688,-0.375344091,-3.093178934,5.349078,1899.005776663,
Stocks,GRAB,0,15,--,4.27,-2.99374,0.54309,-0.9515552,0,-3.4022052,
Stocks,HIMS,0,7,--,16.27,-360.543114,2.127566,-5.210845043,0,-363.626393043,
Stocks,META,2.0012,4,738.09,639.29,-335.021943221,-30.749661175,-4.47027422,3.680921,-366.560957615,
Stocks,MSFT,1.0014,3.0044,497.41,396.86,-224.332099356,27.015334079,-2.830417934,2.221385,-197.925798211,
Stocks,NFLX,0,2,--,77,-13.21088,-6.386717,-2.42786583,0,-22.02546283,
Stocks,NU,0,7,--,16.82,-7.163866,1.934318,-1.74216534,0,-6.97171334,
Stocks,NVDA,10,11.0004,157.99,184.97,421.121494633,-1.059893962,-1.514349117,0.362152,418.909403553,
Stocks,OSCR,1,0,21.44,--,0.3914,-0.03029,-0.328022526,0,0.033087474,
Stocks,PLTR,11,13,136.32,133.02,-154.979556,6.1404575,-3.043566957,0,-151.882665457,
Stocks,SHOP,3,5,115.35,113.54,-101.12017772,0.010909973,-2.01269926,0,-103.121967007,
Stocks,SMCI,3,3,49.01,30.11,-88.357775,0,0,0,-88.357775,
Stocks,TSLA,5,5,317.66,410.63,708.621195,0,0,0,708.621195,
Stocks,UNH,0,3.0275,--,289.09,-26.188643611,-9.118508568,-4.616518947,14.216409,-25.707262125,
Total,,,,,,1719.842477914,-28.874637364,-54.830045985,25.829945,1661.967739565,
Forex,AUD,0.000388069,0.015874523,1,1,0,0,0,0,0,
Forex,USD,353.521045641,373.3082836,1.5195,1.4111,-2142.88247595,3.895894,-36.1124,0,-2175.09898195,
Total,,,,,,-2142.88247595,3.895894,-36.1124,0,-2175.09898195,
Total (All Assets),,,,,,-423.039998036,-24.978743364,-90.942445985,25.829945,-513.131242385,
Stocks,AMD,0,0,0,0,0,0,493.088901124,-37.097850044,0,0
Stocks,AMZN,0,0,0,0,0,0,17.231431752,-335.613732374,85.470744686,0
Stocks,ASTS,0,12.648854375,-18.976929888,0,0,-6.328075513,0,0,0,0
Stocks,GOOGL,0,0,0,0,0,0,1370.549656741,-0.031635451,525.685895319,0
Stocks,GRAB,0,0,0,0,0,0,0,-3.3979288,0,0
