DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Order,Stocks,USD,AMD,"2025-08-06, 19:34:03",2,164,163.12,-328,-1.000044,329.000044,0,-1.76,O
Order,Stocks,USD,AMD,"2025-09-06, 5:58:06",2,151.05,151.14,-302.1,-1.000044,303.100044,0,0.18,O
Order,Stocks,USD,AMD,"2025-11-08, 6:00:01",1,228.37,233.54,-228.37,-1.000022,229.370022,0,5.17,O
Order,Stocks,USD,AMZN,"2025-09-24, 19:12:34",1,224.02,220.21,-224.02,-1.000022,225.020022,0,-3.81,O
Order,Stocks,USD,AMZN,"2025-09-25, 5:44:01",2,219.5691,220.21,-439.1382,-1.000044,440.138244,0,1.2818,IA;O
Order,Stocks,USD,AMZN,"2025-09-25, 22:28:55",1,219.7,218.15,-219.7,-1.000022,220.700022,0,-1.55,O
Order,Stocks,USD,AMZN,"2025-09-26, 18:21:41",1,219,219.78,-219,-1.000022,220.000022,0,0.78,O
Order,Stocks,USD,AMZN,"2025-10-01, 18:40:02",2,217.7,220.63,-435.4,-1.000044,436.400044,0,5.86,O
Order,Stocks,USD,AMZN,"2025-10-13, 20:07:36",1,221,220.07,-221,-1.000022,222.000022,0,-0.93,O
Order,Stocks,USD,AMZN,"2026-01-22, 22:42:50",1,233.38,234.34,-233.38,-1,234.38,0,0.96,O
Order,Stocks,USD,AMZN,"2026-02-03, 21:23:46",1,244.85,238.62,-244.85,-1,245.85,0,-6.23,O
Order,Stocks,USD,AMZN,"2026-02-06, 22:14:10",1,205,210.32,-205,-1,206,0,5.32,O
Order,Stocks,USD,ASTS,"2025-07-08, 0:21:06",1,45,45.69,-45,-0.450022,45.450022,0,0.69,O
Order,Stocks,USD,ASTS,"2025-07-10, 5:31:29",1,43.27,42.5,-43.27,-0.432727,43.702727,0,-0.77,O
Order,Stocks,USD,ASTS,"2025-07-25, 6:56:34",1,53.93,60.06,-53.93,-0.542322,54.472322,0,6.13,O
